"y1","y2","x1","x2","x3","x4","x5","x6","x7","x8"
"117.5","470","3.1389","1.80","12.25","76.6","1972424.23","3101.391761","51.15","166.25680977747"
"125.75","503","3.0426","1.80","12.75","76.8","1907847.658","2969.221903","56.229","167.43723312689"
"131.5","526","3.0611","1.81","13.25","75.3","1887887.013","2918.443738","52.761","168.67626865203"
"149","596","3.1111","1.86","13.25","72.3","1874133.992","2885.34751","53.081","170.00881117438"
"157.25","629","3.2225","1.90","13.75","71.3","1824143.016","2964.47974","50.865","171.06286580366"
"163.25","653","3.5137","1.98","14.25","70.8","1808790.478","2924.543442","46.626","171.43920410843"
"171.75","687","3.9058","2.10","14.25","69.5","1792368.459","2899.279843","45.059","172.36497581062"
"171.25","685","3.8795","2.07","14.25","70.3","1794581.555","3000.494274","45.869","173.77836861226"
"170.75","683","3.7758","2.07","14.25","70","1845043.41","2925.987984","45.12","175.53353013525"
"156.75","627","3.8705","2.04","14.25","68.7","1959277.904","2911.150119","43.35","177.21865202455"
"139.5","558","4.0517","2.20","14.25","71.3","1791519.403","2684.771281","40.406","179.46932890526"
"133.25","533","3.9731","2.16","14.25","70.6","1763053.949","2708.34697","42.794","181.0845528654"
"130","520","3.7033","2.09","14.25","71.2","1724799.809","2903.529973","50.055","181.86321644273"
"130.75","523","3.5652","2.02","14.25","71.7","1730537.223","2846.548888","53.911","182.97258206303"
"143.25","573","3.5387","1.98","14.25","72.8","1704799.556","2801.198207","48.472","184.39976820312"
"159","636","3.4239","2.01","14.25","74.4","1704762.883","2819.25871","51.527","185.04516739183"
"166.75","667","3.275","1.98","14.25","78.2","1687986.888","2806.195311","57.308","186.00740226227"
"174","696","3.2091","1.98","14.25","81","1677367.84","2841.027316","57.901","186.82583483222"
"182.75","731","3.2558","1.90","14.25","83","1729036.315","2804.762515","58.367","186.97529550009"
"171","684","3.1852","1.90","14.25","82","1722934.53","2878.564921","64.925","187.46143126839"
"165","660","3.3414","1.89","14","80.2","1771609.203","2907.590039","61.906","187.79886184467"
"158.25","633","3.3517","1.79","13.75","77.1","1927289.198","2904.531962","60.227","188.3622584302"
"134.75","539","3.196","1.83","13.75","81.5","1726460.744","2716.555098","64.671","189.07803501224"
"133","532","3.1036","1.79","13","83","1759842.506","2693.080833","66.662","189.70199252778"
"132","528","3.1273","1.69","12.25","85.4","1710364.361","2950.214905","64.984","190.1762475091"
"125","500","3.1356","1.67","12.25","87.1","1720050.986","2823.458609","65.403","190.44249425561"
"150.5","602","3.2087","1.69","11.25","86.1","1709323.672","2883.979137","62.712","191.0328659878"
"149","596","3.2948","1.58","10.25","83.3","1750230.128","2843.729337","62.9","190.59349039603"
"148","592","3.2055","1.62","10.25","84.8","1745782.942","2870.385628","65.92","191.05091477298"
"162.75","651","3.1503","1.56","9.25","86.6","1724100.722","2904.334359","70.835","191.41391151105"
"158.75","635","3.1342","1.51","9.25","89.6","1748507.627","2839.089853","74.294","191.72017376947"
"164","656","3.1906","1.51","8.25","91.6","1735487.326","2954.380068","74.309","192.5253984993"
"154.75","619","3.2587","1.47","7.5","91.6","1807156.799","2973.361184","71.971","193.0644696151"
"139.25","557","3.2913","1.38","7.5","91.5","1979432.4","2979.582388","76.402","193.9139532814"
"114.5","458","3.21","1.44","7","93.5","1788475.579","2842.117468","84.913","194.47630374592"
"99.5","398","3.2409","1.44","7","94.9","1791930.214","2768.577133","85.354","195.09862791791"
