y1,y2,b10,b11,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g3,g4,g5,g6,g7,g8,ib8,ib9,ib10
166.75,667,12.75,13,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,1427301.0320,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,2025.0962,54392.0000,52268.0000,48956.0000
180.5,722,12.5,12.75,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,1441299.1170,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,2081.2528,54183.0000,54392.0000,52268.0000
190.5,762,12.5,12.5,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,1446309.3330,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,2099.2910,54637.0000,54183.0000,54392.0000
209.25,837,12,12.5,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,1456355.3110,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,2034.3011,60465.0000,54637.0000,54183.0000
217,868,11.5,12,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,1509751.0160,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,2195.6113,65318.0000,60465.0000,54637.0000
208.75,835,11.5,11.5,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,1531044.1100,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,2166.6325,63006.0000,65318.0000,60465.0000
185.75,743,11.25,11.5,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,1556997.4240,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,2100.3442,63886.0000,63006.0000,65318.0000
183.75,735,11.25,11.25,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,1598385.0720,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,2050.2686,59490.0000,63886.0000,63006.0000
177.75,711,11.25,11.25,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,1622706.4340,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,2034.0535,63489.0000,59490.0000,63886.0000
179.25,717,11.25,11.25,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,1703860.4030,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,2158.7619,60968.0000,63489.0000,59490.0000
184.5,738,11.25,11.25,1639295.9540,1694274.6770,1626602.6060,1621876.2590,1634095.4640,1618384.3270,1659359.1680,1638892.8400,1645748.8120,1706046.8030,2079942.6560,2317.8807,2287.0729,2315.9151,2234.7200,2207.1373,2200.1521,67868.0000,60968.0000,63489.0000
