y1,y2,i10,i11,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g3,g4,g5,g6,g7,g8,ib8,ib9,ib10
140.75,563,1.36,1.47,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,1945505.9870,2938.8741,3047.5811,3095.1751,2901.3315,3029.6050,2968.0067,56097.0000,54355.0000,54490.0000
144.5,578,1.3,1.36,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,1946065.8100,2887.0275,2938.8741,3047.5811,3095.1751,2901.3315,3029.6050,57062.0000,56097.0000,54355.0000
141.75,567,1.33,1.3,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,1945954.3550,2798.9426,2887.0275,2938.8741,3047.5811,3095.1751,2901.3315,59176.0000,57062.0000,56097.0000
154.5,618,1.33,1.33,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,1991592.6190,3045.7610,2798.9426,2887.0275,2938.8741,3047.5811,3095.1751,57068.0000,59176.0000,57062.0000
149.25,597,1.3,1.33,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,1986965.0030,3116.9627,3045.7610,2798.9426,2887.0275,2938.8741,3047.5811,57475.0000,57068.0000,59176.0000
148,592,1.24,1.3,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,1993174.7940,3072.9369,3116.9627,3045.7610,2798.9426,2887.0275,2938.8741,60952.0000,57475.0000,57068.0000
148,592,1.29,1.24,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,2043547.9140,3021.5430,3072.9369,3116.9627,3045.7610,2798.9426,2887.0275,59762.0000,60952.0000,57475.0000
155.5,622,1.2,1.29,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,2022485.4140,3145.0038,3021.5430,3072.9369,3116.9627,3045.7610,2798.9426,57424.0000,59762.0000,60952.0000
154.25,617,1.31,1.2,2157785.7580,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,2120871.7960,3147.9820,3145.0038,3021.5430,3072.9369,3116.9627,3045.7610,56352.0000,57424.0000,59762.0000
147,588,1.31,1.31,2125618.2260,2157785.7580,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,2369010.6410,3098.6498,3147.9820,3145.0038,3021.5430,3072.9369,3116.9627,55910.0000,56352.0000,57424.0000
139,556,1.29,1.31,2234729.3180,2125618.2260,2157785.7580,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,2089640.4010,3279.2004,3098.6498,3147.9820,3145.0038,3021.5430,3072.9369,53506.0000,55910.0000,56352.0000
131.5,526,1.31,1.29,2420329.9530,2234729.3180,2125618.2260,2157785.7580,2138132.5560,2118973.1990,2159854.2670,2108704.6580,2073441.5990,2120069.9580,2077379.3500,3230.0323,3279.2004,3098.6498,3147.9820,3145.0038,3021.5430,47457.0000,53506.0000,55910.0000
