y1,y2,x2,x3,x4,x5,x4,x7,x8,x9,x10,x11,x12,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ib2,ib3,ib4,ib5,ib6,ib7,ib8,ib9,ib10,ib11,ib12
190.25,761,1.8002,1.8988,1.9652,1.882,1.9311,1.9808,2.0312,2.0879,2.0955,2.1377,2.1491,1.72,1.73,1.73,1.69,1.78,1.84,1.89,1.86,1.93,1.91,1.9,114.8,114.5,113.2,113,110.2,110.5,111.3,108.8,104.7,97.8,99.7,1622706.434,1598385.072,1556997.424,1531044.11,1509751.016,1456355.311,1446309.333,1441299.117,1427301.032,1450058.933,1628068.228,2195.61126,2034.301075,2099.290971,2081.252817,2025.096197,2060.43557,1987.493418,2031,1840.140601,1894.44862,1981.876668,65318,60465,54637,54183,54392,52268,48956,45805,43892,44642,44474
179.5,718,1.7691,1.8002,1.8988,1.9652,1.882,1.9311,1.9808,2.0312,2.0879,2.0955,2.1377,1.7,1.72,1.73,1.73,1.69,1.78,1.84,1.89,1.86,1.93,1.91,111,114.8,114.5,113.2,113,110.2,110.5,111.3,108.8,104.7,99.1,1703860.403,1622706.434,1598385.072,1556997.424,1531044.11,1509751.016,1456355.311,1446309.333,1441299.117,1427301.032,1450058.933,2166.632526,2195.61126,2034.301075,2099.290971,2081.252817,2025.096197,2060.43557,1987.493418,2031,1840.140601,1894.44862,63006,65318,60465,54637,54183,54392,52268,48956,45805,43892,44642
166.75,667,1.7852,1.7691,1.8002,1.8988,1.9652,1.882,1.9311,1.9808,2.0312,2.0879,2.0955,1.68,1.7,1.72,1.73,1.73,1.69,1.78,1.84,1.89,1.86,1.93,109.1,111,114.8,114.5,113.2,113,110.2,110.5,111.3,108.8,97.8,2079942.656,1703860.403,1622706.434,1598385.072,1556997.424,1531044.11,1509751.016,1456355.311,1446309.333,1441299.117,1427301.032,2100.344187,2166.632526,2195.61126,2034.301075,2099.290971,2081.252817,2025.096197,2060.43557,1987.493418,2031,1840.140601,63886,63006,65318,60465,54637,54183,54392,52268,48956,45805,43892
180.5,722,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.882,1.9311,1.9808,2.0312,2.0879,1.76,1.68,1.7,1.72,1.73,1.73,1.69,1.78,1.84,1.89,1.86,107.3,109.1,111,114.8,114.5,113.2,113,110.2,110.5,111.3,104.7,1706046.803,2079942.656,1703860.403,1622706.434,1598385.072,1556997.424,1531044.11,1509751.016,1456355.311,1446309.333,1441299.117,2050.26858,2100.344187,2166.632526,2195.61126,2034.301075,2099.290971,2081.252817,2025.096197,2060.43557,1987.493418,2031,59490,63886,63006,65318,60465,54637,54183,54392,52268,48956,45805
190.5,762,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.882,1.9311,1.9808,2.0312,1.77,1.76,1.68,1.7,1.72,1.73,1.73,1.69,1.78,1.84,1.89,109.7,107.3,109.1,111,114.8,114.5,113.2,113,110.2,110.5,108.8,1645748.812,1706046.803,2079942.656,1703860.403,1622706.434,1598385.072,1556997.424,1531044.11,1509751.016,1456355.311,1446309.333,2034.053485,2050.26858,2100.344187,2166.632526,2195.61126,2034.301075,2099.290971,2081.252817,2025.096197,2060.43557,1987.493418,63489,59490,63886,63006,65318,60465,54637,54183,54392,52268,48956
209.25,837,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.882,1.9311,1.9808,1.8,1.77,1.76,1.68,1.7,1.72,1.73,1.73,1.69,1.78,1.84,112.2,109.7,107.3,109.1,111,114.8,114.5,113.2,113,110.2,111.3,1638892.84,1645748.812,1706046.803,2079942.656,1703860.403,1622706.434,1598385.072,1556997.424,1531044.11,1509751.016,1456355.311,2158.761896,2034.053485,2050.26858,2100.344187,2166.632526,2195.61126,2034.301075,2099.290971,2081.252817,2025.096197,2060.43557,60968,63489,59490,63886,63006,65318,60465,54637,54183,54392,52268
217,868,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.882,1.9311,1.79,1.8,1.77,1.76,1.68,1.7,1.72,1.73,1.73,1.69,1.78,112,112.2,109.7,107.3,109.1,111,114.8,114.5,113.2,113,110.5,1659359.168,1638892.84,1645748.812,1706046.803,2079942.656,1703860.403,1622706.434,1598385.072,1556997.424,1531044.11,1509751.016,2200.152068,2158.761896,2034.053485,2050.26858,2100.344187,2166.632526,2195.61126,2034.301075,2099.290971,2081.252817,2025.096197,67868,60968,63489,59490,63886,63006,65318,60465,54637,54183,54392
208.75,835,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.882,1.84,1.79,1.8,1.77,1.76,1.68,1.7,1.72,1.73,1.73,1.69,112,112,112.2,109.7,107.3,109.1,111,114.8,114.5,113.2,110.2,1618384.327,1659359.168,1638892.84,1645748.812,1706046.803,2079942.656,1703860.403,1622706.434,1598385.072,1556997.424,1531044.11,2207.137309,2200.152068,2158.761896,2034.053485,2050.26858,2100.344187,2166.632526,2195.61126,2034.301075,2099.290971,2081.252817,72593,67868,60968,63489,59490,63886,63006,65318,60465,54637,54183
185.75,743,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.9652,1.79,1.84,1.79,1.8,1.77,1.76,1.68,1.7,1.72,1.73,1.73,114.1,112,112,112.2,109.7,107.3,109.1,111,114.8,114.5,113,1634095.464,1618384.327,1659359.168,1638892.84,1645748.812,1706046.803,2079942.656,1703860.403,1622706.434,1598385.072,1556997.424,2234.720007,2207.137309,2200.152068,2158.761896,2034.053485,2050.26858,2100.344187,2166.632526,2195.61126,2034.301075,2099.290971,65018,72593,67868,60968,63489,59490,63886,63006,65318,60465,54637
183.75,735,1.5906,1.6181,1.6597,1.6881,1.7068,1.7269,1.7735,1.7852,1.7691,1.8002,1.8988,1.85,1.79,1.84,1.79,1.8,1.77,1.76,1.68,1.7,1.72,1.73,113.7,114.1,112,112,112.2,109.7,107.3,109.1,111,114.8,113.2,1621876.259,1634095.464,1618384.327,1659359.168,1638892.84,1645748.812,1706046.803,2079942.656,1703860.403,1622706.434,1598385.072,2315.915144,2234.720007,2207.137309,2200.152068,2158.761896,2034.053485,2050.26858,2100.344187,2166.632526,2195.61126,2034.301075,59505,65018,72593,67868,60968,63489,59490,63886,63006,65318,60465
